0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:58:04 +0530] "GET /MobileStore/resources/image/66.jpg HTTP/1.1" 200 6346
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:58:04 +0530] "GET /MobileStore/resources/image/55.jpg HTTP/1.1" 200 6662
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:58:05 +0530] "GET /MobileStore/src/main/webapp/WEB-INF/views/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:58:05 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:58:05 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:58:05 +0530] "GET /MobileStore/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:58:05 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:58:05 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:58:07 +0530] "GET /MobileStore/product?id=301 HTTP/1.1" 200 8540
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:58:07 +0530] "GET /MobileStore/src/main/webapp/WEB-INF/views/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:58:07 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:58:08 +0530] "GET /MobileStore/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:58:08 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:58:08 +0530] "GET /MobileStore/resources/image/LogoNew.png HTTP/1.1" 200 31086
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:58:08 +0530] "GET /MobileStore/resources/image/66.jpg HTTP/1.1" 200 6346
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:58:08 +0530] "GET /MobileStore/src/main/webapp/WEB-INF/views/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:58:08 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:58:08 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:58:08 +0530] "GET /MobileStore/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:58:08 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:58:09 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:09:58:24 +0530] "GET /MobileStore/addCart?prodid=301&prodprice=35000&prodquantity=1&pricetot=35000 HTTP/1.1" 500 13379
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:00:11 +0530] "GET /MobileStore/admin/add HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:00:11 +0530] "GET /MobileStore/login HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:00:14 +0530] "GET /MobileStore/login HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:00:16 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:02:28 +0530] "POST /MobileStore/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:02:34 +0530] "GET /MobileStore/admin/add HTTP/1.1" 200 13381
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:02:34 +0530] "GET /MobileStore/admin/src/main/webapp/WEB-INF/views/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:02:34 +0530] "GET /MobileStore/admin/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:02:34 +0530] "GET /MobileStore/admin/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:02:34 +0530] "GET /MobileStore/admin/resources/js/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:02:34 +0530] "GET /MobileStore/admin/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:02:35 +0530] "GET /MobileStore/admin/resources/js/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:02:35 +0530] "GET /MobileStore/admin/resources/image/LogoNew.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:02:35 +0530] "GET /MobileStore/admin/src/main/webapp/WEB-INF/views/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:02:35 +0530] "GET /MobileStore/admin/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:02:35 +0530] "GET /MobileStore/admin/engine1/style.css HTTP/1.1" 404 992
